Ticker,date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
LIN,1992-12-18,8.375,8.375,8.1875,8.3125,4.935647964477539,1563200,False,-0.007490327102325361,0.022224798806242327,0.2201274513480691,41,40,13
LIN,1992-12-21,8.375,8.375,8.25,8.25,4.898536682128906,901000,True,-0.007547439843537941,0.01914155894333332,0.18825104038936072,42,40,13
LIN,1992-12-22,8.3125,8.4375,8.1875,8.25,4.898536682128906,1963800,False,0.0,0.016450437676647982,0.1604285902230457,43,40,13
LIN,1992-12-23,8.3125,8.375,8.25,8.25,4.898536682128906,474600,False,0.0,0.01569116805215734,0.15257879855750436,43,40,13
LIN,1992-12-24,8.25,8.3125,8.1875,8.25,4.898536682128906,447800,False,0.0,0.004118311588140039,0.03293156220363024,48,48,16
LIN,1992-12-28,8.125,8.1875,7.9375,8.125,4.82431697845459,1947200,True,-0.015267358314626223,0.0068182306190729645,0.06084496901332795,47,48,16
LIN,1992-12-29,8.125,8.25,8.125,8.125,4.82431697845459,482400,False,0.0,0.006827770205670171,0.06094359506782565,47,48,16
LIN,1992-12-30,8.125,8.25,8.125,8.25,4.898536682128906,591000,False,0.015267358314626295,0.010795652595077046,0.10196597908734885,45,48,16
LIN,1992-12-31,8.1875,8.375,8.1875,8.375,4.972756385803223,1022000,False,0.015037766945863304,0.012719001607721159,0.12185073222693264,45,48,16
LIN,1993-01-04,8.3125,8.375,8.1875,8.1875,4.86142635345459,1185200,True,-0.02264240794326251,0.017273038376771806,0.16893313710812927,43,40,13
LIN,1993-01-05,8.1875,8.375,8.125,8.25,4.898536682128906,878600,False,0.007604640997399053,0.01567735166420249,0.15243595632660567,43,40,13
LIN,1993-01-06,8.3125,8.5,8.25,8.4375,5.009867191314697,564400,False,0.022472881810131795,0.01767697046096277,0.17310923293186792,43,40,13
LIN,1993-01-07,8.4375,8.75,8.4375,8.5625,5.08408784866333,3073800,False,0.014706226590235847,0.017617391506497177,0.17249326942546603,43,40,13
LIN,1993-01-08,8.5,8.6875,8.375,8.4375,5.009867191314697,1084000,False,-0.014706226590235922,0.019345733595927176,0.1903619222612929,42,40,13
LIN,1993-01-11,8.375,8.625,8.3125,8.625,5.121198177337647,1454400,True,0.0219790246587082,0.015301208128162146,0.14854715543293429,44,48,16
LIN,1993-01-12,8.5625,8.5625,8.4375,8.5625,5.08408784866333,1041400,False,-0.0072727980684724825,0.017299497928426274,0.16920669206324884,43,40,13
LIN,1993-01-13,8.5625,8.625,8.5,8.5,5.04697847366333,905800,False,-0.007325890441688139,0.015900409713039697,0.15474206624621276,43,40,13
LIN,1993-01-14,8.5,8.625,8.5,8.5625,5.08408784866333,704800,False,0.0073258904416881885,0.014659310682493553,0.14191082881507197,44,48,16
LIN,1993-01-15,8.5625,8.5625,8.3125,8.375,4.972756385803223,1567000,False,-0.022141341454504367,0.01675180044813166,0.16354426204184658,43,40,13
LIN,1993-01-18,8.375,8.4375,8.375,8.375,4.972756385803223,521600,True,0.0,0.01092510427755198,0.10330432939849654,45,48,16
LIN,1993-01-19,8.375,8.625,8.375,8.625,5.121198177337647,1416200,False,0.029414139522976838,0.01905380033261332,0.18734373843918528,42,40,13
LIN,1993-01-20,8.5,8.6875,8.375,8.625,5.121198177337647,1809200,False,0.0,0.018482930874203777,0.18144174239958133,42,40,13
LIN,1993-01-21,8.625,8.6875,8.5,8.625,5.121198177337647,2216200,False,0.0,0.01833611113985969,0.17992383059352907,42,40,13
LIN,1993-01-22,8.5625,8.625,8.375,8.375,4.972756385803223,2587600,False,-0.029414139522976807,0.020798937519464152,0.2053860292179819,41,40,13
LIN,1993-01-25,8.4375,8.625,8.375,8.5625,5.08408784866333,2629200,True,0.022141341454504464,0.02303570277242622,0.22851107027602896,40,40,13
LIN,1993-01-26,8.625,8.75,8.5,8.5625,5.08408784866333,1378800,False,0.0,0.01833611113985971,0.1799238305935293,42,40,13
LIN,1993-01-27,8.5,8.5625,8.3125,8.4375,5.009867191314697,3023400,False,-0.014706226590235922,0.019203438499496944,0.18889078891685707,42,40,13
LIN,1993-01-28,8.3125,8.4375,8.25,8.375,4.972756385803223,1312600,False,-0.007435114864268446,0.01906532400770378,0.1874628772085548,42,40,13
LIN,1993-01-29,8.375,8.4375,8.1875,8.3125,4.935647964477539,1787800,False,-0.007490327102325361,0.014201030200772848,0.13717284616720193,44,48,16
LIN,1993-02-01,8.375,8.4375,8.3125,8.4375,5.009867191314697,490600,True,0.014925441966593771,0.011260253454757844,0.10676930565078444,45,48,16
LIN,1993-02-02,8.4375,8.5625,8.375,8.5,5.04697847366333,1114600,False,0.007380336148547772,0.012187734398556747,0.11635816835218014,45,48,16
LIN,1993-02-03,8.5,8.625,8.5,8.5,5.04697847366333,1257600,False,0.0,0.009717641694044174,0.09082084603666557,46,48,16
